OrderDate,ShippingDate,ProductID,Zip,Units,Revenue,Currency
2010-01-15 00:00:00,2010-01-17 00:00:00,25,7825,1,792.75,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,33,97231,1,734.475,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,36,40108,1,414.75,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,36,92122,1,414.75,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,36,92595,1,414.75,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,36,95037,1,414.75,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,94,29607,1,866.25,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,94,95351,2,1732.5,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,120,85283,1,829.5,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,120,94509,1,829.5,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,120,95624,1,829.5,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,120,97062,1,829.5,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,120,97330,1,829.5,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,157,85308,1,619.5,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,158,20817,1,656.25,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,168,34242,1,629.475,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,187,97321,1,819.0,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,195,29615,1,750.225,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,195,29681,1,750.225,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,228,67209,1,655.9875,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,228,92887,1,655.9875,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,247,37215,1,367.2375,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,248,87501,1,524.7375,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,318,37209,1,865.9875,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,320,6851,1,1364.7375,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,326,29072,1,708.4875,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,370,33952,1,540.4875,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,370,78745,1,540.4875,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,2048,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,2770,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,6084,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,6415,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,6423,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,7065,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,7401,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,7506,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,7821,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,7960,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,8080,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,19720,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,20747,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,21087,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,21901,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,29576,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,29671,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,29715,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,32780,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,32955,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,33317,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,33318,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,33418,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,34104,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,34786,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,35235,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,35749,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,38111,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,46013,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,46038,3,2571.1875,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,46142,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,46637,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,47842,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,51357,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,53532,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,55313,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,55331,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,57106,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,63017,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,67601,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,68164,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,70518,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,71322,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,74502,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,84092,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,87059,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,90631,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,90815,2,1714.125,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,91342,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,91741,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,91752,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,92026,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,92397,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,92630,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,92869,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,93101,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,94514,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,94555,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,94583,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,94949,1,857.0625,GBP
2010-01-15 00:00:00,2010-01-17 00:00:00,396,95037,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,95215,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,95382,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,95673,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,396,97405,1,857.0625,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,400,7849,1,683.8125,USD
2010-01-15 00:00:00,2010-01-17 00:00:00,400,26070,1,683.8125,GBP
